Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory,State/UnionTerritory (group),Time,% of death,%cured,%of confimed cases,%of cured,Confirmed,Cured,death%,Deaths,Sno
0,1,30-01-2020,Kerala,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,1
0,1,31-01-2020,Kerala,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,2
0,2,01-02-2020,Kerala,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,3
0,3,02-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,4
0,3,03-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,5
0,3,04-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,6
0,3,05-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,7
0,3,06-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,8
0,3,07-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,9
0,3,08-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,10
0,3,09-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,11
0,3,10-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,12
0,3,11-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,13
0,3,12-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,14
0,3,13-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,15
0,3,14-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,16
0,3,15-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,17
0,3,16-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,18
0,3,17-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,19
0,3,18-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,20
0,3,19-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,21
0,3,20-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,22
0,3,21-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,23
0,3,22-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,24
0,3,23-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,25
0,3,24-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,26
0,3,25-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,27
0,3,26-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,28
0,3,27-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,29
0,3,28-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,30
0,3,29-02-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,31
0,3,01-03-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,32
0,1,02-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,33
0,3,02-03-2020,Kerala,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,34
0,1,02-03-2020,Delhi,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,35
0,1,03-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,36
1,0,03-03-2020,Rajasthan,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,37
0,3,03-03-2020,Kerala,Other,6:00 PM,0,100,0.023512814,100,3,3,0,0,38
0,1,03-03-2020,Delhi,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,39
0,6,04-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.047025629,0,6,0,0,0,40
0,3,04-03-2020,Kerala,Other,6:00 PM,0,100,0.023512814,100,3,3,0,0,41
2,0,04-03-2020,Haryana,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,42
